MES,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
enero,721,721,707,839,1.185,1.352,1.379,1.313,1.432,1.168,1.196,980,784,1.332,13.777
febrero,900,765,911,946,1.356,1.536,1.479,1.487,1.681,1.578,1.257,1.136,1.133,1.310,16.165
marzo,993,759,906,1.062,1.326,1.653,1.542,1.495,1.006,1.706,1.464,1.143,996,1.377,16.051
abril,745,947,997,988,1.356,1.409,1.554,1.572,0,1.330,1.585,992,1.253,1.374,14.728
mayo,933,1.005,1.051,1.112,1.348,1.659,1.545,1.738,808,1.060,1.854,1.224,1.178,1.585,16.515
junio,781,753,803,1.149,1.390,1.631,1.389,1.474,1.007,1.465,1.565,1.056,1.124,1.361,15.587
julio,875,896,1.180,1.387,1.190,1.491,1.500,1.710,1.120,1.659,1.611,965,1.188,1.800,16.772
agosto,873,854,1.077,1.177,1.702,1.699,1.616,1.729,941,1.580,1.906,1.046,1.234,1.647,17.434
septiembre,855,777,1.049,1.359,1.525,1.533,1.686,1.758,1.375,1.535,1.731,1.167,1.333,1.864,17.683
octubre,821,874,1.245,1.264,1.419,1.674,1.637,1.791,1.590,1.645,1.454,988,1.389,1.762,17.791
noviembre,826,963,1.068,1.254,1.680,1.790,1.961,2.011,1.494,1.637,1.518,1.222,1.538,1.646,18.962
diciembre,983,1.031,1.469,1.719,2.339,1.818,2.195,2.387,2.091,1.635,1.516,1.193,1.461,1.748,21.837
