X,Y,ruta,parada,label,itinerario,objectid,linea
-8417829.5614594,694110.562901605,C3-004B,Cll. 18 con Cra. 93B,Cll. 18 con Cra. 93B,C3-004B Buga - Los Alpes,1,C3-004B Altavista - Buga
-8420547.3843173,693903.710604392,C3-004B,Cra 138 # 15-05,Cra 138 # 15-05,C3-004B Buga - Los Alpes,2,C3-004B Altavista - Buga
-8420138.00476533,693934.865471162,C3-004B,Cll 15 con Cra 136,Cll 15 con Cra 136,C3-004B Buga - Los Alpes,3,C3-004B Altavista - Buga
-8419819.69061223,693936.173184764,C3-004B,Cra 120 con Cll 15,Cra 120 con Cll 15,C3-004B Buga - Los Alpes,4,C3-004B Altavista - Buga
-8419671.61949064,694010.347512934,C3-004B,Cll. 17 con Cra. 111A,Cll. 17 con Cra. 111A,C3-004B Buga - Los Alpes,5,C3-004B Altavista - Buga
-8419529.92076766,694118.465152513,C3-004B,Cll. 18 con Cra. 110A,Cll. 18 con Cra. 110A,C3-004B Buga - Los Alpes,6,C3-004B Altavista - Buga
-8419402.10497436,694173.053415887,C3-004B,Cll. 18 con Cra. 110A,Cll. 18 con Cra. 110A,C3-004B Buga - Los Alpes,7,C3-004B Altavista - Buga
-8419131.47555489,694171.167300042,C3-004B,Cll. 18 con Cra. 106B,Cll. 18 con Cra. 106B,C3-004B Buga - Los Alpes,8,C3-004B Altavista - Buga
-8418866.78782572,694150.37750043,C3-004B,Cll. 18 con Cra. 105,Cll. 18 con Cra. 105,C3-004B Buga - Los Alpes,9,C3-004B Altavista - Buga
-8418760.9327724,694145.886152644,C3-004B,Cll. 18 con Cra. 105,Cll. 18 con Cra. 105,C3-004B Buga - Los Alpes,10,C3-004B Altavista - Buga
-8418606.15585507,694142.612319581,C3-004B,Cll. 18 con Cra. 103,Cll. 18 con Cra. 103,C3-004B Buga - Los Alpes,11,C3-004B Altavista - Buga
-8418480.38592527,694143.841806386,C3-004B,Cll. 18 con Cra. 102B,Cll. 18 con Cra. 102B,C3-004B Buga - Los Alpes,12,C3-004B Altavista - Buga
