N°;COMUNA;NOMBRE COMUNA;NOMBRE DE LA ORGANIZACIÓN;TIPO DE ORGANIZACIÓN;DANE ESTABLECIDO;TELÉFONO DE LA ORGANIZACIÓN;CORREO ELECTRÓNICO DE LA ORGANIZACIÓN;DIRECCIÓN FÍSICA DE LA ORGANIZACIÓN;NOMBRE DEL REPRESENTANTE LEGAL DE LA ORGANIZACIÓN;CARGO EN LA ORGANIZACIÓN;TELÉFONO Y CELULAR;NOMBRE DEL ENLACE DENTRO DE LA ORGANIZACIÓN;CARGO EN LA ORGANIZACIÓN;TELÉFONO Y CELULAR;CORREO ELECTRÓNICO;VALIDACION/SOCIALIZACION;FECHA ÚLTIMA ACTUALIZACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;POPULAR;INST EDUC FE Y ALEGRIA POPULAR NRO. 1;IE ;105001001805;5286518/5285264 ;ie.feyalegriapopular@medllin.gov.co;CL 120 42BB 10;HNA. MARIA EUGENIA ECHAVARRIA ALVAREZ;RECTOR;5286518/5285264;HNA. MARIA EUGENIA ECHAVARRIA ALVAREZ;RECTOR;5286518/5285264 ;ie.feyalegriapopular@medllin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1;POPULAR;SEC ESC FE Y ALEGRIA POPULAR NO 2;IE ;105001001805-105001001571;2369838;ie.feyalegriapopular@medllin.gov.co;CR 43    11 8B 16;HNA. MARIA EUGENIA ECHAVARRIA ALVAREZ;RECTOR;5286518/5285264;HNA. MARIA EUGENIA ECHAVARRIA ALVAREZ;RECTOR;2369838;ie.feyalegriapopular@medllin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1;POPULAR;INST EDUC FE Y ALEGRIA SANTO DOMINGO SAVIO;IE ;105001002348;5284407;ie.feyalegriasantodomingosavio@gmail.com;CR 29 110 A 83;ANTONIO JOSE ARCILA ZAPATA.;RECTOR;5721991;ANTONIO JOSE ARCILA ZAPATA;RECTOR;5284407;ie.feyalegriasantodomingosavio@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1;POPULAR;SEC ESC FE Y ALEGRIA SEGUNDA AGRUPACION;IE ;105001002348- 105001003255;5721991;ie.feyalegriasantodomingosavio@gmail.com;CR 30    110B-24;ANTONIO JOSE ARCILA ZAPATA.;RECTOR;5721991;ANTONIO JOSE ARCILA ZAPATA;RECTOR;5721991;ie.feyalegriasantodomingosavio@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1;POPULAR;INST EDUC MARIA DE LOS ANGELES CANO MARQUEZ;IE ;105001007218;5287740/5289494;institucionmariacano@gmail.com;CL 103 33 D 75;YOLANDA INES ZULUAGA CANO;RECTOR;5287740/5289494;YOLANDA INES ZULUAGA CANO;RECTOR;5287740/5289494;institucionmariacano@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;1;POPULAR;INST EDUC FEDERICO CARRASQUILLA;IE ;105001011690;2581227/2580194 ;iefequilla@epm.net.co;CR 45 108 110;CARLOS ARTURO VENGOECHEA MARULANDA.;RECTOR;2581227/2580194;CARLOS ARTURO VENGOECHEA MARULANDA ;RECTOR;2581227/2580194 ;iefequilla@epm.net.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;1;POPULAR;SEC ESC DIVINA PROVIDENCIA;IE ;105001011690- 105001008176;2584850;iefequilla@epm.net.co;CL 108 43 B 17;CARLOS ARTURO VENGOECHEA MARULANDA.;RECTOR;2584850;CARLOS ARTURO VENGOECHEA MARULANDA ;RECTOR;2584850;iefequilla@epm.net.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1;POPULAR;INST EDUC GUADALUPE;IE ;105001012165;5211353 – 5211282 – 5224937;ie.villaguadalupe@medellin.gov.co - ieguadalupe@gmail.com;CR 42 B 95 A 23;RODRIGO DE JESUS JIMENEZ MARTINEZ;RECTOR;5211353 – 5211282 – 5224937;RODRIGO DE JESUS JIMENEZ MARTINEZ;RECTOR;5211353 – 5211282 – 5224937;ie.villaguadalupe@medellin.gov.co - ieguadalupe@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1;POPULAR;SEC ESC AGRIPINA MONTES DEL VALLE;IE ;105001012165-105001005461;5211321;ie.villaguadalupe@medellin.gov.co - ieguadalupe@gmail.com;CLL 95 NO 42B-44;RODRIGO DE JESUS JIMENEZ MARTINEZ;RECTOR;5211321;RODRIGO DE JESUS JIMENEZ MARTINEZ;RECTOR;5211321;ie.villaguadalupe@medellin.gov.co - ieguadalupe@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1;POPULAR;SEC ESC GRACIELA JIMENEZ DE BUSTAMANTE;IE ;105001012165-105001000230;5219898 5211438;ie.villaguadalupe@medellin.gov.co - ieguadalupe@gmail.com;CR 44 98 B 24;RODRIGO DE JESUS JIMENEZ MARTINEZ;RECTOR;5219898 5211438;RODRIGO DE JESUS JIMENEZ MARTINEZ;RECTOR;5219898 5211438;ie.villaguadalupe@medellin.gov.co - ieguadalupe@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
