id_original,comuna,nombre_comuna,nombre_institucion,tipo_organizacion,codigo_dane,telefono,correo,direccion_original,estado,fecha_actualizacion,direccion_normalizada,consulta_geocodificacion,latitud,longitud,fuente_coordenadas,precision_geocodificacion
7.0,1,POPULAR,SEC ESC DIVINA PROVIDENCIA,IE,105001011690- 105001008176,2584850,iefequilla@epm.net.co,CL 108 43 B 17,ACTIVO,2020.0,CL 108 43 B 17,"CL 108 43 B 17, Medellín, Antioquia, Colombia",6.3045992,-75.5655243,Nominatim/OpenStreetMap,highway
9.0,1,POPULAR,SEC ESC AGRIPINA MONTES DEL VALLE,IE,105001012165-105001005461,5211321,ie.villaguadalupe@medellin.gov.co - ieguadalupe@gmail.com,CLL 95 NO 42B-44,ACTIVO,2020.0,CL 95 42B-44,"CL 95 42B-44, Medellín, Antioquia, Colombia",6.2923778,-75.5800033,Nominatim/OpenStreetMap,highway
11.0,1,POPULAR,INST EDUC SAN PABLO,IE,105001012700,5213098-5213099,iesanpablo811@gmail.com ie.sanpablo10@gmail.com,CL 98 B 37 38,ACTIVO,2020.0,CL 98 B 37 38,"CL 98 B 37 38, Medellín, Antioquia, Colombia",6.289682,-75.5564494,Nominatim/OpenStreetMap,highway
12.0,1,POPULAR,SEC ESC MEDELLIN,IE,105001012700-105001006912,2363305,iesanpablo811@gmail.com ie.sanpablo10@gmail.com,CL 96  36-45,ACTIVO,2020.0,CL 96 36-45,"CL 96 36-45, Medellín, Antioquia, Colombia",6.2875882,-75.5522057,Nominatim/OpenStreetMap,highway
13.0,1,POPULAR,SEC ESC MARCO FIDEL SUAREZ,IE,105001012700-105001010090,2586525,iesanpablo811@gmail.com ie.sanpablo10@gmail.com,CL 99  37-18,ACTIVO,2020.0,CL 99 37-18,"CL 99 37-18, Medellín, Antioquia, Colombia",6.2979838,-75.5795394,Nominatim/OpenStreetMap,highway
22.0,1,POPULAR,SEC ESC CARPINELO AMAPOLITA,IE,105001025844-105001019283,5290481,santodomingosavio.ie@gmail.com  ie.antoniosanto@medellin.gov.co,CL 97  23-12,ACTIVO,2020.0,CL 97 23-12,"CL 97 23-12, Medellín, Antioquia, Colombia",6.2912084,-75.560561,Nominatim/OpenStreetMap,highway
23.0,1,POPULAR,INST EDUC LA CANDELARIA,IE,305001015287,5721611 5288002 5724336 EXT 101,ie.lacandelaria@medellin.gov.co,CL 106 32 100,ACTIVO,2020.0,CL 106 32 100,"CL 106 32 100, Medellín, Antioquia, Colombia",6.2936367,-75.543393,Nominatim/OpenStreetMap,highway
27.0,1,POPULAR,ESC POPULAR EUCARISTICA JULIO C. HERNANDEZ,IE,305001016984,2517700,"e.p.e.colegiojuliochernandez@gmail.com
e.p.e.colegiojuliochernandez@hotmail.com",CL 108 43 16,ACTIVO,2020.0,CL 108 43 16,"CL 108 43 16, Medellín, Antioquia, Colombia",6.3045992,-75.5655243,Nominatim/OpenStreetMap,highway
31.0,2,SANTA CRUZ,INST EDUC JOSE MARIA VELAZ,IE,105001000001,4644146/4640912,Ie.josemariavelaz@medellin.gov.co,CL 121 48 67,ACTIVO,2020.0,CL 121 48 67,"CL 121 48 67, Medellín, Antioquia, Colombia",6.3040752,-75.5503742,Nominatim/OpenStreetMap,highway
32.0,2,SANTA CRUZ,INST EDUC BARRIO SANTA CRUZ,IE,105001000043,5294058,iebscruz1@hotmail.com,CL 103 43 A 45,ACTIVO,2020.0,CL 103 43 A 45,"CL 103 43 A 45, Medellín, Antioquia, Colombia",6.2922736,-75.5503826,Nominatim/OpenStreetMap,amenity
