id_original,comuna,nombre_comuna,nombre_institucion,tipo_organizacion,codigo_dane,telefono,correo,direccion_original,estado,fecha_actualizacion,direccion_normalizada,consulta_geocodificacion,latitud,longitud,fuente_coordenadas,precision_geocodificacion
1.0,1,POPULAR,INST EDUC FE Y ALEGRIA POPULAR NRO. 1,IE,105001001805,5286518/5285264,ie.feyalegriapopular@medllin.gov.co,CL 120 42BB 10,ACTIVO,2020.0,CL 120 42BB 10,"CL 120 42BB 10, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
2.0,1,POPULAR,SEC ESC FE Y ALEGRIA POPULAR NO 2,IE,105001001805-105001001571,2369838,ie.feyalegriapopular@medllin.gov.co,CR 43    11 8B 16,ACTIVO,2020.0,CR 43 11 8B 16,"CR 43 11 8B 16, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
3.0,1,POPULAR,INST EDUC FE Y ALEGRIA SANTO DOMINGO SAVIO,IE,105001002348,5284407,ie.feyalegriasantodomingosavio@gmail.com,CR 29 110 A 83,ACTIVO,2020.0,CR 29 110 A 83,"CR 29 110 A 83, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
4.0,1,POPULAR,SEC ESC FE Y ALEGRIA SEGUNDA AGRUPACION,IE,105001002348- 105001003255,5721991,ie.feyalegriasantodomingosavio@gmail.com,CR 30    110B-24,ACTIVO,2020.0,CR 30 110B-24,"CR 30 110B-24, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
5.0,1,POPULAR,INST EDUC MARIA DE LOS ANGELES CANO MARQUEZ,IE,105001007218,5287740/5289494,institucionmariacano@gmail.com,CL 103 33 D 75,ACTIVO,2020.0,CL 103 33 D 75,"CL 103 33 D 75, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
6.0,1,POPULAR,INST EDUC FEDERICO CARRASQUILLA,IE,105001011690,2581227/2580194,iefequilla@epm.net.co,CR 45 108 110,ACTIVO,2020.0,CR 45 108 110,"CR 45 108 110, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
7.0,1,POPULAR,SEC ESC DIVINA PROVIDENCIA,IE,105001011690- 105001008176,2584850,iefequilla@epm.net.co,CL 108 43 B 17,ACTIVO,2020.0,CL 108 43 B 17,"CL 108 43 B 17, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
8.0,1,POPULAR,INST EDUC GUADALUPE,IE,105001012165,5211353  5211282  5224937,ie.villaguadalupe@medellin.gov.co - ieguadalupe@gmail.com,CR 42 B 95 A 23,ACTIVO,2020.0,CR 42 B 95 A 23,"CR 42 B 95 A 23, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
9.0,1,POPULAR,SEC ESC AGRIPINA MONTES DEL VALLE,IE,105001012165-105001005461,5211321,ie.villaguadalupe@medellin.gov.co - ieguadalupe@gmail.com,CLL 95 NO 42B-44,ACTIVO,2020.0,CL 95 42B-44,"CL 95 42B-44, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
10.0,1,POPULAR,SEC ESC GRACIELA JIMENEZ DE BUSTAMANTE,IE,105001012165-105001000230,5219898 5211438,ie.villaguadalupe@medellin.gov.co - ieguadalupe@gmail.com,CR 44 98 B 24,ACTIVO,2020.0,CR 44 98 B 24,"CR 44 98 B 24, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
11.0,1,POPULAR,INST EDUC SAN PABLO,IE,105001012700,5213098-5213099,iesanpablo811@gmail.com ie.sanpablo10@gmail.com,CL 98 B 37 38,ACTIVO,2020.0,CL 98 B 37 38,"CL 98 B 37 38, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
12.0,1,POPULAR,SEC ESC MEDELLIN,IE,105001012700-105001006912,2363305,iesanpablo811@gmail.com ie.sanpablo10@gmail.com,CL 96  36-45,ACTIVO,2020.0,CL 96 36-45,"CL 96 36-45, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
13.0,1,POPULAR,SEC ESC MARCO FIDEL SUAREZ,IE,105001012700-105001010090,2586525,iesanpablo811@gmail.com ie.sanpablo10@gmail.com,CL 99  37-18,ACTIVO,2020.0,CL 99 37-18,"CL 99 37-18, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
14.0,1,POPULAR,INST EDUC NUEVO HORIZONTE -PAULO VI,IE,105001001821,5722929/5285638,nhpvi@ienuevohorizontemedellin.edu.co,CR 42 B 110 A 28,ACTIVO,2020.0,CR 42 B 110 A 28,"CR 42 B 110 A 28, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
15.0,1,POPULAR,SEC ESC NUEVO HORIZONTE 2,IE,105001001821-105001013081,5284658,nhpvi@ienuevohorizontemedellin.edu.co,CR 37 107AA-21,ACTIVO,2020.0,CR 37 107AA-21,"CR 37 107AA-21, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
16.0,1,POPULAR,INST EDUC FE Y ALEGRIA GRANIZAL,IE,105001015091,5293562,rectoria@feyalegriagranizal.edu.co,CR 39 A 104 23,ACTIVO,2020.0,CR 39 A 104 23,"CR 39 A 104 23, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
17.0,1,POPULAR,SEC ESC FE Y ALEGRIA GRANIZAL,IE,105001015091-105001016489,5293564,rectoria@feyalegriagranizal.edu.co,CR 39A 104-40,ACTIVO,2020.0,CR 39A 104-40,"CR 39A 104-40, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
18.0,1,POPULAR,INST EDUC LA AVANZADA,IE,105001019305,5721377,ie.laavanzada@medellin.gov.co,CR 27 106 B B 65,ACTIVO,2020.0,CR 27 106 B B 65,"CR 27 106 B B 65, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
19.0,1,POPULAR,INST EDUC ANTONIO DERKA - SANTO DOMINGO,IE,105001025844,5295218-5295216,santodomingosavio.ie@gmail.com  ie.antoniosanto@medellin.gov.co,CR 28 107 425,ACTIVO,2020.0,CR 28 107 425,"CR 28 107 425, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
20.0,1,POPULAR,SEC ESC ANTONIO DERKA,IE,105001025844-205001019491,5295216-5721312,santodomingosavio.ie@gmail.com  ie.antoniosanto@medellin.gov.co,CR 28 107 365,ACTIVO,2020.0,CR 28 107 365,"CR 28 107 365, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
21.0,1,POPULAR,SEC ESC SANTO DOMINGO SAVIO,IE,105001025844-105001006726,5293550,santodomingosavio.ie@gmail.com  ie.antoniosanto@medellin.gov.co,CR 28 107 473,ACTIVO,2020.0,CR 28 107 473,"CR 28 107 473, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
22.0,1,POPULAR,SEC ESC CARPINELO AMAPOLITA,IE,105001025844-105001019283,5290481,santodomingosavio.ie@gmail.com  ie.antoniosanto@medellin.gov.co,CL 97  23-12,ACTIVO,2020.0,CL 97 23-12,"CL 97 23-12, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
23.0,1,POPULAR,INST EDUC LA CANDELARIA,IE,305001015287,5721611 5288002 5724336 EXT 101,ie.lacandelaria@medellin.gov.co,CL 106 32 100,ACTIVO,2020.0,CL 106 32 100,"CL 106 32 100, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
24.0,1,POPULAR,SEC ESC LA ESPERANZA NO 2,IE,305001015287-105001011703,5723241,ie.lacandelaria@medellin.gov.co,CR 29 102 20,ACTIVO,2020.0,CR 29 102 20,"CR 29 102 20, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
25.0,1,POPULAR,INST EDUC BARRIO SAN NICOLAS,IE,105001026671,2360235,Sin registro,CR 45A 96 17,ACTIVO,2020.0,CR 45A 96 17,"CR 45A 96 17, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
26.0,1,POPULAR,COL SAGRADA FAMILIA ALDEA PABLO VI,IE,105001007919,5290009,soporte@sagradafamiliahpar.edu.co,CR 30 100 B 30,ACTIVO,2020.0,CR 30 100 B 30,"CR 30 100 B 30, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
27.0,1,POPULAR,ESC POPULAR EUCARISTICA JULIO C. HERNANDEZ,IE,305001016984,2517700,"e.p.e.colegiojuliochernandez@gmail.com
e.p.e.colegiojuliochernandez@hotmail.com",CL 108 43 16,ACTIVO,2020.0,CL 108 43 16,"CL 108 43 16, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
